database_code,domain_name,database_group,language_code,language_name,editability,status,visibility,english_name
aawiki,aa.wikipedia.org,wikipedia,aa,Afar,public,closed,public,Afar Wikipedia
aawikibooks,aa.wikibooks.org,wikibooks,aa,Afar,public,closed,public,Afar Wikibooks
aawiktionary,aa.wiktionary.org,wiktionary,aa,Afar,public,closed,public,Afar Wiktionary
abwiki,ab.wikipedia.org,wikipedia,ab,Abkhazian,public,open,public,Abkhazian Wikipedia
abwiktionary,ab.wiktionary.org,wiktionary,ab,Abkhazian,public,closed,public,Abkhazian Wiktionary
acewiki,ace.wikipedia.org,wikipedia,ace,Achinese,public,open,public,Achinese Wikipedia
advisorswiki,advisors.wikimedia.org,advisors,en,English,private,open,private,Advisors Wiki
advisorywiki,advisory.wikimedia.org,advisory,en,English,public,closed,public,Advisory Board
adywiki,ady.wikipedia.org,wikipedia,ady,Adyghe,public,open,public,Adyghe Wikipedia
afwiki,af.wikipedia.org,wikipedia,af,Afrikaans,public,open,public,Afrikaans Wikipedia
afwikibooks,af.wikibooks.org,wikibooks,af,Afrikaans,public,open,public,Afrikaans Wikibooks
afwikiquote,af.wikiquote.org,wikiquote,af,Afrikaans,public,open,public,Afrikaans Wikiquote
afwiktionary,af.wiktionary.org,wiktionary,af,Afrikaans,public,open,public,Afrikaans Wiktionary
akwiki,ak.wikipedia.org,wikipedia,ak,Akan,public,open,public,Akan Wikipedia
akwikibooks,ak.wikibooks.org,wikibooks,ak,Akan,public,closed,public,Akan Wikibooks
akwiktionary,ak.wiktionary.org,wiktionary,ak,Akan,public,closed,public,Akan Wiktionary
alswiki,als.wikipedia.org,wikipedia,als,Alsatian,public,open,public,Alemannisch Wikipedia
amwiki,am.wikipedia.org,wikipedia,am,Amharic,public,open,public,Amharic Wikipedia
amwikimedia,am.wikimedia.org,amwikimedia,en,English,private,open,public,Wikimedia Armenia
amwikiquote,am.wikiquote.org,wikiquote,am,Amharic,public,closed,public,Amharic Wikiquote
amwiktionary,am.wiktionary.org,wiktionary,am,Amharic,public,open,public,Amharic Wiktionary
angwiki,ang.wikipedia.org,wikipedia,ang,Old English,public,open,public,Old English Wikipedia
angwikibooks,ang.wikibooks.org,wikibooks,ang,Old English,public,closed,public,Old English Wikibooks
angwikiquote,ang.wikiquote.org,wikiquote,ang,Old English,public,closed,public,Old English Wikiquote
angwikisource,ang.wikisource.org,wikisource,ang,Old English,public,closed,public,Old English Wikisource
angwiktionary,ang.wiktionary.org,wiktionary,ang,Old English,public,open,public,Old English Wiktionary
anwiki,an.wikipedia.org,wikipedia,an,Aragonese,public,open,public,Aragonese Wikipedia
anwiktionary,an.wiktionary.org,wiktionary,an,Aragonese,public,open,public,Aragonese Wiktionary
arbcom_dewiki,arbcom-de.wikipedia.org,arbcom-de,en,English,private,open,private,German Wikipedia Arbitration Committee
arbcom_enwiki,arbcom-en.wikipedia.org,arbcom-en,en,English,private,open,private,English Wikipedia Arbitration Committee
arbcom_fiwiki,arbcom-fi.wikipedia.org,arbcom-fi,en,English,private,open,private,Finnish Wikipedia Arbitration Committee
arbcom_nlwiki,arbcom-nl.wikipedia.org,arbcom-nl,en,English,private,open,private,Dutch Wikipedia Arbitration Committee
arcwiki,arc.wikipedia.org,wikipedia,arc,Aramaic,public,open,public,Aramaic Wikipedia
arwiki,ar.wikipedia.org,wikipedia,ar,Arabic,public,open,public,Arabic Wikipedia
arwikibooks,ar.wikibooks.org,wikibooks,ar,Arabic,public,open,public,Arabic Wikibooks
arwikimedia,ar.wikimedia.org,arwikimedia,en,English,public,open,public,Wikimedia Argentina
arwikinews,ar.wikinews.org,wikinews,ar,Arabic,public,open,public,Arabic Wikinews
arwikiquote,ar.wikiquote.org,wikiquote,ar,Arabic,public,open,public,Arabic Wikiquote
arwikisource,ar.wikisource.org,wikisource,ar,Arabic,public,open,public,Arabic Wikisource
